DATE,DPRIME
1994-01-01,6.0000000000000000
1994-02-01,6.0000000000000000
1994-03-01,6.0652173913043478
1994-04-01,6.4500000000000000
1994-05-01,6.9880952380952381
1994-06-01,7.2500000000000000
1994-07-01,7.2500000000000000
1994-08-01,7.5108695652173913
1994-09-01,7.7500000000000000
1994-10-01,7.7500000000000000
1994-11-01,8.1625000000000000
1994-12-01,8.5000000000000000
1995-01-01,8.5000000000000000
1995-02-01,9.0000000000000000
1995-03-01,9.0000000000000000
1995-04-01,9.0000000000000000
1995-05-01,9.0000000000000000
1995-06-01,9.0000000000000000
1995-07-01,8.7875000000000000
1995-08-01,8.7500000000000000
1995-09-01,8.7500000000000000
1995-10-01,8.7500000000000000
1995-11-01,8.7500000000000000
1995-12-01,8.6625000000000000
1996-01-01,8.5000000000000000
1996-02-01,8.2500000000000000
1996-03-01,8.2500000000000000
1996-04-01,8.2500000000000000
1996-05-01,8.2500000000000000
1996-06-01,8.2500000000000000
1996-07-01,8.2500000000000000
1996-08-01,8.2500000000000000
1996-09-01,8.2500000000000000
1996-10-01,8.2500000000000000
1996-11-01,8.2500000000000000
1996-12-01,8.2500000000000000
1997-01-01,8.2500000000000000
1997-02-01,8.2500000000000000
1997-03-01,8.2976190476190476
1997-04-01,8.5000000000000000
1997-05-01,8.5000000000000000
1997-06-01,8.5000000000000000
1997-07-01,8.5000000000000000
1997-08-01,8.5000000000000000
1997-09-01,8.5000000000000000
1997-10-01,8.5000000000000000
1997-11-01,8.5000000000000000
1997-12-01,8.5000000000000000
1998-01-01,8.5000000000000000
1998-02-01,8.5000000000000000
1998-03-01,8.5000000000000000
1998-04-01,8.5000000000000000
1998-05-01,8.5000000000000000
1998-06-01,8.5000000000000000
1998-07-01,8.5000000000000000
1998-08-01,8.5000000000000000
1998-09-01,8.4880952380952381
1998-10-01,8.1190476190476190
1998-11-01,7.8947368421052632
1998-12-01,7.7500000000000000
1999-01-01,7.7500000000000000
1999-02-01,7.7500000000000000
1999-03-01,7.7500000000000000
1999-04-01,7.7500000000000000
1999-05-01,7.7500000000000000
1999-06-01,7.7500000000000000
1999-07-01,8.0000000000000000
1999-08-01,8.0568181818181818
1999-09-01,8.2500000000000000
1999-10-01,8.2500000000000000
1999-11-01,8.3625000000000000
1999-12-01,8.5000000000000000
2000-01-01,8.5000000000000000
2000-02-01,8.7250000000000000
2000-03-01,8.8369565217391304
2000-04-01,9.0000000000000000
2000-05-01,9.2272727272727273
2000-06-01,9.5000000000000000
2000-07-01,9.5000000000000000
2000-08-01,9.5000000000000000
2000-09-01,9.5000000000000000
2000-10-01,9.5000000000000000
2000-11-01,9.5000000000000000
2000-12-01,9.5000000000000000
2001-01-01,9.0476190476190476
2001-02-01,8.5000000000000000
2001-03-01,8.3181818181818182
2001-04-01,7.8095238095238095
2001-05-01,7.2500000000000000
2001-06-01,6.9761904761904762
2001-07-01,6.7500000000000000
2001-08-01,6.6630434782608696
2001-09-01,6.2631578947368421
2001-10-01,5.5454545454545455
2001-11-01,5.1000000000000000
2001-12-01,4.8421052631578947
2002-01-01,4.7500000000000000
2002-02-01,4.7500000000000000
2002-03-01,4.7500000000000000
2002-04-01,4.7500000000000000
2002-05-01,4.7500000000000000
2002-06-01,4.7500000000000000
2002-07-01,4.7500000000000000
2002-08-01,4.7500000000000000
2002-09-01,4.7500000000000000
2002-10-01,4.7500000000000000
2002-11-01,4.3500000000000000
2002-12-01,4.2500000000000000
2003-01-01,4.2500000000000000
2003-02-01,4.2500000000000000
2003-03-01,4.2500000000000000
2003-04-01,4.2500000000000000
2003-05-01,4.2500000000000000
2003-06-01,4.2261904761904762
2003-07-01,4.0000000000000000
2003-08-01,4.0000000000000000
2003-09-01,4.0000000000000000
2003-10-01,4.0000000000000000
2003-11-01,4.0000000000000000
2003-12-01,4.0000000000000000
2004-01-01,4.0000000000000000
2004-02-01,4.0000000000000000
2004-03-01,4.0000000000000000
2004-04-01,4.0000000000000000
2004-05-01,4.0000000000000000
2004-06-01,4.0113636363636364
2004-07-01,4.2500000000000000
2004-08-01,4.4318181818181818
2004-09-01,4.5952380952380952
2004-10-01,4.7500000000000000
2004-11-01,4.9166666666666667
2004-12-01,5.1477272727272727
2005-01-01,5.2500000000000000
2005-02-01,5.4868421052631579
2005-03-01,5.5869565217391304
2005-04-01,5.7500000000000000
2005-05-01,5.9880952380952381
2005-06-01,6.0113636363636364
2005-07-01,6.2500000000000000
2005-08-01,6.4347826086956522
2005-09-01,6.6071428571428571
2005-10-01,6.7500000000000000
2005-11-01,7.0000000000000000
2005-12-01,7.1547619047619048
2006-01-01,7.2625000000000000
2006-02-01,7.5000000000000000
2006-03-01,7.5434782608695652
2006-04-01,7.7500000000000000
2006-05-01,7.9204545454545455
2006-06-01,8.0227272727272727
2006-07-01,8.2500000000000000
2006-08-01,8.2500000000000000
2006-09-01,8.2500000000000000
2006-10-01,8.2500000000000000
2006-11-01,8.2500000000000000
2006-12-01,8.2500000000000000
2007-01-01,8.2500000000000000
2007-02-01,8.2500000000000000
2007-03-01,8.2500000000000000
2007-04-01,8.2500000000000000
2007-05-01,8.2500000000000000
2007-06-01,8.2500000000000000
2007-07-01,8.2500000000000000
2007-08-01,8.2500000000000000
2007-09-01,8.0131578947368421
2007-10-01,7.7386363636363636
2007-11-01,7.5000000000000000
2007-12-01,7.3250000000000000
2008-01-01,6.9166666666666667
2008-02-01,6.0000000000000000
2008-03-01,5.6428571428571429
2008-04-01,5.2386363636363636
2008-05-01,5.0000000000000000
2008-06-01,5.0000000000000000
